Champion,wr,wrdelta,avgwr,Pick Rate,Ban Rate,PBI Index,PBIno,lane,games,rank
Rell,50.83,-0.11,50.94,2.53,0.83,2.0,-18.181818181818183,support lane,"59,377",GOLD
Malzahar,52.32,-0.13,52.45,9.96,18.67,27.0,-207.69230769230768,middle lane,"233,643",GOLD
Kog'Maw,52.57,-0.11,52.68,1.49,0.42,4.0,-36.36363636363637,bottom lane,"34,962",GOLD
Fizz,51.78,0.07,51.71,6.54,10.86,12.0,171.42857142857142,middle lane,"153,289",GOLD
Viego,49.87,-0.1,49.97,10.30,11.40,-3.0,30.0,jungle lane,"241,634",GOLD
Malphite,51.54,0.06,51.48,7.03,17.13,12.0,200.0,top lane,"164,862",GOLD
Lux,50.85,0.8,50.050000000000004,12.97,13.09,11.0,13.75,support lane,"304,284",GOLD
Anivia,50.56,-0.23,50.79,2.54,2.06,1.0,-4.3478260869565215,middle lane,"59,585",GOLD
Yorick,51.94,0.39,51.55,6.03,13.83,13.0,33.333333333333336,top lane,"141,515",GOLD
Graves,49.59,-0.56,50.150000000000006,9.72,8.85,-5.0,8.928571428571427,jungle lane,"227,934",GOLD
Smolder,51.72,-0.31,52.03,9.59,5.55,17.0,-54.83870967741935,bottom lane,"225,031",GOLD
Rammus,53.04,0.34,52.699999999999996,3.04,6.86,10.0,29.41176470588235,jungle lane,"71,305",GOLD
Annie,51.29,0.06,51.23,2.58,0.92,3.0,50.0,middle lane,"60,544",GOLD
Ziggs,52.17,0.11,52.06,1.57,0.73,3.0,27.272727272727273,bottom lane,"36,938",GOLD
Morgana,51.73,0.76,50.97,8.64,27.34,20.0,26.31578947368421,support lane,"202,614",GOLD
Dr. Mundo,51.98,0.36,51.62,4.04,9.26,8.0,22.22222222222222,top lane,"94,648",GOLD
Poppy,50.39,0.12,50.27,1.52,1.22,0.0,0.0,support lane,"35,734",GOLD
Mordekaiser,52.12,0.4,51.72,8.53,15.90,21.0,52.5,top lane,"200,032",GOLD
Jhin,49.83,-0.12,49.949999999999996,18.01,3.77,-5.0,41.66666666666667,bottom lane,"422,460",GOLD
Hwei,50.72,-0.44,51.16,3.28,1.56,2.0,-4.545454545454546,middle lane,"76,952",GOLD
Evelynn,49.99,0.02,49.97,2.18,1.71,0.0,0.0,jungle lane,"51,033",GOLD
Maokai,51.33,0.19,51.14,2.39,0.34,3.0,15.789473684210526,support lane,"56,082",GOLD
Volibear,50.59,0.25,50.34,4.22,4.20,2.0,8.0,top lane,"98,906",GOLD
Lissandra,50.5,-0.6,51.1,4.05,2.13,2.0,-3.3333333333333335,middle lane,"95,097",GOLD
Vel'Koz,51.34,-0.13,51.470000000000006,3.27,1.69,4.0,-30.769230769230766,support lane,"76,646",GOLD
